date,ticker,returns,weights
2008-04-01,SPY,0.03516,0.8109801
2008-04-02,SPY,0.000659,-0.69311845
2008-04-03,SPY,0.002487,0.5031991
2008-04-04,SPY,-0.001095,-0.8017729
2008-04-07,SPY,0.000511,0.722776
2008-04-08,SPY,-0.001022,0.7027633
2008-04-09,SPY,-0.007236,0.06825676
2008-04-10,SPY,0.001399,0.93528265
2008-04-11,SPY,-0.019409,0.38562688
2008-04-14,SPY,-0.003374,0.48320553
2008-04-15,SPY,0.002332,0.2197102
2008-04-16,SPY,0.027094,0.32333484
2008-04-17,SPY,0.001461,-0.96899414
2008-04-18,SPY,0.010434,-0.9404337
2008-04-21,SPY,0.000506,-0.14252365
2008-04-22,SPY,-0.004403,-0.7457405
2008-04-23,SPY,-0.001595,-0.4916544
2008-04-24,SPY,0.004357,0.6159067
2008-04-25,SPY,0.009254,0.49421445
2008-04-28,SPY,0.000215,0.25616112
2008-04-29,SPY,-0.003939,-0.92348963
2008-04-30,SPY,-0.005896,0.29522848
2008-05-01,SPY,0.020686,0.23225926
2008-05-02,SPY,0.002764,0.7592329
2008-05-05,SPY,-0.004805,0.3242451
2008-05-06,SPY,0.008663,0.13459826
2008-05-07,SPY,-0.017811,-0.025360903
2008-05-08,SPY,-0.00258,-0.8342276
2008-05-09,SPY,-0.001868,0.06831259
2008-05-12,SPY,0.011231,0.8858653
2008-05-13,SPY,0.000142,-0.43665862
2008-05-14,SPY,0.002064,-0.47230655
2008-05-15,SPY,0.012503,0.7739556
2008-05-16,SPY,0.000912,-0.056202322
2008-05-19,SPY,0.002734,-0.8083914
2008-05-20,SPY,-0.008109,-0.94467807
2008-05-21,SPY,-0.016914,-0.43354955
2008-05-22,SPY,0.000143,0.2300769
2008-05-23,SPY,-0.013404,0.1322681
2008-05-26,SPY,0.0,-0.4186815
2008-05-27,SPY,0.007411,0.66597706
2008-05-28,SPY,0.004616,-0.47603703
2008-05-29,SPY,0.005025,-0.080777556
2008-05-30,SPY,0.0025,-0.8252748
2008-06-02,SPY,-0.010331,0.7299091
2008-06-03,SPY,-0.005832,0.38932708
2008-06-04,SPY,-0.000507,0.26616755
